meme_id,filename,platform,perceptual_hash,vector_id
0,1000046440010344_0.jpg,sgag,dummy,-1
1,1000253469989641_0.jpg,sgag,dummy,-1
2,1000373609977627_0.jpg,sgag,dummy,-1
3,1000388496642805_0.jpg,sgag,dummy,-1
4,1000432826638372_0.jpg,sgag,dummy,-1
5,1000437796637875_0.jpg,sgag,dummy,-1
6,1000438723304449_0.jpg,sgag,dummy,-1
7,1000698789945109_0.jpg,sgag,dummy,-1
8,1000835543264767_0.jpg,sgag,dummy,-1
9,1000992063249115_0.jpg,sgag,dummy,-1
10,1001127696568885_0.jpg,sgag,dummy,-1
11,1001128196568835_0.jpg,sgag,dummy,-1
12,1001408446540810_0.jpg,sgag,dummy,-1
13,1001433219871666_0.jpg,sgag,dummy,-1
14,1001517423196579_0.jpg,sgag,dummy,-1
15,1001537466527908_0.jpg,sgag,dummy,-1
16,1001543229860665_0.jpg,sgag,dummy,-1
17,1001607839854204_0.jpg,sgag,dummy,-1
18,1001663043182017_0.jpg,sgag,dummy,-1
19,1001954376486217_0.jpg,sgag,dummy,-1
20,1001970579817930_0.jpg,sgag,dummy,-1
21,1002506636430991_0.jpg,sgag,dummy,-1
22,1002545243093797_0.jpg,sgag,dummy,-1
23,1002557093092612_0.jpg,sgag,dummy,-1
24,1002630133085308_0.jpg,sgag,dummy,-1
25,1003042813044040_0.jpg,sgag,dummy,-1
26,1003116306370024_0.jpg,sgag,dummy,-1
27,1003244716357183_0.jpg,sgag,dummy,-1
28,1003246726356982_0.jpg,sgag,dummy,-1
29,1003251626356492_0.jpg,sgag,dummy,-1
30,1003492836332371_0.jpg,sgag,dummy,-1
31,1003508769664111_0.jpg,sgag,dummy,-1
32,1003513332996988_0.jpg,sgag,dummy,-1
33,1003654522982869_0.jpg,sgag,dummy,-1
34,1004105709604417_0.jpg,sgag,dummy,-1
35,1004189432929378_0.jpg,sgag,dummy,-1
36,1004271086254546_0.jpg,sgag,dummy,-1
37,1004423856239269_0.jpg,sgag,dummy,-1
38,1004925669522421_0.jpg,sgag,dummy,-1
39,1004980962850225_0.jpg,sgag,dummy,-1
40,1004983722849949_0.jpg,sgag,dummy,-1
41,1005079512840370_0.jpg,sgag,dummy,-1
42,1005181539496834_0.jpg,sgag,dummy,-1
43,1005389162809405_0.jpg,sgag,dummy,-1
44,1005717609443227_0.jpg,sgag,dummy,-1
45,1006065176075137_0.jpg,sgag,dummy,-1
46,1006066512741670_0.jpg,sgag,dummy,-1
47,1006077762740545_0.jpg,sgag,dummy,-1
48,1006129659402022_0.jpg,sgag,dummy,-1
49,1006333806048274_0.jpg,sgag,dummy,-1
50,1006336106048044_0.jpg,sgag,dummy,-1
51,1007208182627503_0.jpg,sgag,dummy,-1
52,1007228915958763_0.jpg,sgag,dummy,-1
53,1007329449282043_0.jpg,sgag,dummy,-1
54,1007900882558233_0.jpg,sgag,dummy,-1
55,1008007092547612_0.jpg,sgag,dummy,-1
56,1008081569206831_0.jpg,sgag,dummy,-1
57,1008130215868633_0.jpg,sgag,dummy,-1
58,1008144425867212_0.jpg,sgag,dummy,-1
59,1008149732533348_0.jpg,sgag,dummy,-1
60,1008159522532369_0.jpg,sgag,dummy,-1
61,1008168819198106_0.jpg,sgag,dummy,-1
62,1008515879163400_0.jpg,sgag,dummy,-1
63,1008517992496522_0.jpg,sgag,dummy,-1
64,1008562382492083_0.jpg,sgag,dummy,-1
65,1008659465815708_0.jpg,sgag,dummy,-1
66,1008993709115617_0.jpg,sgag,dummy,-1
67,1009026175779037_0.jpg,sgag,dummy,-1
68,1009095389105449_0.jpg,sgag,dummy,-1
69,1009468845734770_0.jpg,sgag,dummy,-1
70,1009479362400385_0.jpg,sgag,dummy,-1
71,1009482449066743_0.jpg,sgag,dummy,-1
72,1009497489065239_0.jpg,sgag,dummy,-1
73,1009503369064651_0.jpg,sgag,dummy,-1
74,1009576142390707_0.jpg,sgag,dummy,-1
